tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:26: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
tracemalloc/.tmp:18: size=8000 B, count=1, average=8000 B
tracemalloc/.tmp:23: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:35: size=640 B, count=1, average=640 B
tracemalloc/.tmp:59: size=528 B, count=1, average=528 B
tracemalloc/.tmp:64: size=448 B, count=1, average=448 B
tracemalloc/.tmp:41: size=440 B, count=1, average=440 B
tracemalloc/.tmp:16: size=416 B, count=1, average=416 B
tracemalloc/.tmp:13: size=224 B, count=1, average=224 B
tracemalloc/.tmp:11: size=224 B, count=1, average=224 B
tracemalloc/.tmp:38: size=152 B, count=1, average=152 B
tracemalloc/.tmp:34: size=136 B, count=1, average=136 B
tracemalloc/.tmp:29: size=136 B, count=1, average=136 B
tracemalloc/.tmp:20: size=32 B, count=1, average=32 B
