tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:28: size=1760 B, count=21, average=84 B
tracemalloc/.tmp:39: size=1464 B, count=61, average=24 B
tracemalloc/.tmp:28: size=1280 B, count=20, average=64 B
tracemalloc/.tmp:28: size=992 B, count=2, average=496 B
tracemalloc/.tmp:28: size=960 B, count=15, average=64 B
tracemalloc/.tmp:28: size=832 B, count=13, average=64 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:39: size=744 B, count=31, average=24 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:32: size=480 B, count=1, average=480 B
tracemalloc/.tmp:59: size=456 B, count=1, average=456 B
tracemalloc/.tmp:39: size=456 B, count=1, average=456 B
tracemalloc/.tmp:47: size=216 B, count=9, average=24 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
tracemalloc/.tmp:35: size=136 B, count=1, average=136 B
tracemalloc/.tmp:31: size=136 B, count=1, average=136 B
tracemalloc/.tmp:27: size=136 B, count=1, average=136 B
tracemalloc/.tmp:23: size=136 B, count=1, average=136 B
tracemalloc/.tmp:47: size=48 B, count=2, average=24 B
tracemalloc/.tmp:47: size=24 B, count=1, average=24 B
tracemalloc/.tmp:18: size=800 B, count=1, average=800 B
tracemalloc/.tmp:72: size=696 B, count=2, average=348 B
tracemalloc/.tmp:76: size=536 B, count=1, average=536 B
tracemalloc/.tmp:77: size=448 B, count=1, average=448 B
tracemalloc/.tmp:51: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=136 B, count=1, average=136 B
