tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:82: size=512 B, count=1, average=512 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
tracemalloc/.tmp:67: size=9504 B, count=6, average=1584 B
tracemalloc/.tmp:71: size=6732 B, count=96, average=70 B
tracemalloc/.tmp:75: size=2560 B, count=1, average=2560 B
tracemalloc/.tmp:79: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:57: size=1568 B, count=1, average=1568 B
tracemalloc/.tmp:105: size=696 B, count=2, average=348 B
tracemalloc/.tmp:108: size=640 B, count=1, average=640 B
tracemalloc/.tmp:113: size=528 B, count=1, average=528 B
tracemalloc/.tmp:114: size=448 B, count=1, average=448 B
tracemalloc/.tmp:63: size=160 B, count=1, average=160 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:43: size=56 B, count=1, average=56 B
tracemalloc/.tmp:69: size=48 B, count=2, average=24 B
tracemalloc/.tmp:76: size=32 B, count=1, average=32 B
