tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
tracemalloc/.tmp:226: size=72 B, count=1, average=72 B
tracemalloc/.tmp:118: size=48 B, count=2, average=24 B
tracemalloc/.tmp:112: size=48 B, count=2, average=24 B
tracemalloc/.tmp:44: size=32 B, count=1, average=32 B
tracemalloc/.tmp:103: size=24 B, count=1, average=24 B
.tracemalloc/.tmp:151: size=993 KiB, count=1, average=993 KiB
tracemalloc/.tmp:137: size=1704 B, count=2, average=852 B
tracemalloc/.tmp:210: size=696 B, count=2, average=348 B
tracemalloc/.tmp:146: size=584 B, count=1, average=584 B
tracemalloc/.tmp:38: size=544 B, count=7, average=78 B
tracemalloc/.tmp:141: size=544 B, count=1, average=544 B
tracemalloc/.tmp:239: size=536 B, count=1, average=536 B
tracemalloc/.tmp:235: size=504 B, count=1, average=504 B
tracemalloc/.tmp:195: size=504 B, count=1, average=504 B
tracemalloc/.tmp:99: size=488 B, count=1, average=488 B
tracemalloc/.tmp:177: size=480 B, count=1, average=480 B
tracemalloc/.tmp:223: size=440 B, count=1, average=440 B
tracemalloc/.tmp:53: size=288 B, count=12, average=24 B
tracemalloc/.tmp:204: size=136 B, count=1, average=136 B
tracemalloc/.tmp:190: size=136 B, count=1, average=136 B
tracemalloc/.tmp:174: size=136 B, count=1, average=136 B
tracemalloc/.tmp:87: size=136 B, count=1, average=136 B
tracemalloc/.tmp:59: size=136 B, count=1, average=136 B
tracemalloc/.tmp:48: size=136 B, count=1, average=136 B
tracemalloc/.tmp:221: size=98 B, count=1, average=98 B
tracemalloc/.tmp:218: size=95 B, count=1, average=95 B
