tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:24: size=192 B, count=3, average=64 B
tracemalloc/.tmp:23: size=192 B, count=3, average=64 B
tracemalloc/.tmp:18: size=192 B, count=3, average=64 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
tracemalloc/.tmp:24: size=64 B, count=1, average=64 B
tracemalloc/.tmp:23: size=64 B, count=1, average=64 B
tracemalloc/.tmp:18: size=64 B, count=1, average=64 B
tracemalloc/.tmp:14: size=800 B, count=1, average=800 B
tracemalloc/.tmp:59: size=696 B, count=2, average=348 B
tracemalloc/.tmp:61: size=528 B, count=1, average=528 B
tracemalloc/.tmp:62: size=448 B, count=1, average=448 B
tracemalloc/.tmp:17: size=136 B, count=1, average=136 B
